repo	rule	findings
conduit	get/keyword-lookup	1
kaocha	cond/two-clause-if	1
kaocha	if/not-condition	1
kaocha	when/not-condition	3
malli	get/keyword-lookup	4
malli	if/not-condition	2
malli	nil/eq	28
malli	when/not-condition	1
re-frame-10x	get/keyword-lookup	11
re-frame-10x	if/not-condition	1
re-frame-10x	str/redundant-string-literal	4
re-frame-10x	when/not-condition	1
re-frame	get/keyword-lookup	2
re-frame	if/redundant-do-branch	1
re-frame	nil/eq	2
re-frame	when/not-condition	1
reitit	get/keyword-lookup	4
reitit	nil/eq	44
